"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","25967.9778950484","30191.3944300631","35887.3868780664","40076.0092827855","40956.0001019289","42815.1228928445","43830.1159676316","45623.9137645108","47814.0222192478","47542.8202465931","46672.7753503658","48471.8915683256","47974.0418469563","47163.5028261595","49486.0820866208","50651.7151646801","49577.2196859917","49630.2898566358","52772.5646782125","52045.6875840098","52014.229232475","52966.9428745596","53273.824441814","46475.9404104342","44696.9045554659","45770.8721664955","44928.981902225","47461.615474339","46386.6720080314","45804.2462376627","46317.7956404829","49316.8305845086","50242.2123025235","48863.8667067511","37095.214575194","47369.425924411","52368.6937886526","",
"Africa Eastern and Southern","AFE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21400.8672073635","19238.9587873119","23196.0208008893","23411.0546682664","22826.4210224607","24497.7427729765","24763.5403906089","27686.4758240658","28202.7606179527","33037.7105650121","36704.6387166193","35525.9190512739","38455.7928436693","39225.8786116918","38847.4260282594","38200.0661442537","38067.9693622342","37971.4313593607","37330.2546579171","37678.483736308","35657.1589565185","27467.7999420541","25109.2355762345","",
"Africa Western and Central","AFW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49684.1055866792","45839.3766568031","44221.9611916731","44442.3177028228","45438.6162349384","45364.3354280541","45044.6917312182","45298.9777443677","46483.5346100784","44961.2394932015","41981.9237320476","41011.0909990284","37382.3092518373","27532.3983549965","27022.8779966411","30070.632312394","33025.2096069414","34265.4777580692","34715.7008157292","34346.7684236532","34266.0721912605","34553.2997705587","37986.9673333832","37809.9249892768","40504.6672908523","44964.0551964559","48387.7169217462","53195.0891988612","57005.4779143667","55410.869390591","55727.3878802107","55535.0935984423","58055.3060128094","58697.5898804765","59302.6030309193","57735.2498625822","54264.2697007204","52294.0995532799","49848.4773050745","47846.0070641933","43696.5945750579","42842.5018086427","42801.0496617957","41878.6539230157",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207060.081949942","214614.976621904","216322.968604428","214123.391960506","207041.266761901","206439.614471583","213901.695441229","208020.476069406","201233.761577374","215166.417077377","191093.802099593","138415.31604419","129248.690853421","142470.766467315","155250.054652543","177023.092248408","194336.269098207","174200.884260331","190778.684302212","216739.979535367","233277.288609002","255005.661706054","267374.648427898","283214.488211669","300084.356308469","318293.122268168","339214.284053016","362237.534094923","392405.068682875","408309.794949239","425553.059864656","437560.645670945","444495.425391179","449772.627778323","458702.359970427","470247.105064285","486613.08316363","505581.807453531","527202.060685688","540506.220011205","525668.03420478","577828.568293674","613301.561117893","641721.404879584",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","38449.8041369587","37478.5215838102","37852.269880431","38189.4113286599","37837.80288659","35789.8382908828","34884.7279408753","33956.5413842127","32734.5728310923","31244.1889198055","30616.9570947179","29438.8863357396","28561.7974143738","27748.8756702612","27072.9878452384","26672.0461389212","26455.2119877206","26732.7682124488","26952.2565936279","27167.1980015105","27178.6953293883","26932.9959952376","26305.8307002077","25210.1849347488","25015.5626914822","24932.9153953725","25596.394219527","27686.4800098946","28350.1027828061","29301.3784174853","30132.3811973312","31751.2533176054","31775.6072774492","33109.1777504161","34394.6030962006","34937.3637661915","36437.0925318807","37974.8746290042","36860.1669844192","35946.7583816281","36386.2749758805","36874.176314708","34819.8217227832","33417.9662869393","34133.4245542509","34562.623700276","35452.4400330852","34950.2282053713","34948.8755282418","35032.1574997053","30570.7850707851","32545.4867525369","35305.1713770295","35696.9833183498",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","177627.129211438","209957.986152093","256394.073573169","402407.318075627","413537.124141539","397705.503580108","410023.663612069","432641.138576105","373750.97123666","400600.790528659","444567.952804855","428854.759117799","376856.841956609","338749.96996989","333300.702475828","304735.282299254","243420.044853608","234532.084161591","213770.724583134","225649.866220941","251787.209156763","240267.23951557","235649.900790604","227132.050426306","231772.261385027","236609.458099218","236828.844167783","240048.512027337","226325.638263275","219628.759253646","230250.29079486","221382.076186715","215569.752439348","223483.419733821","233831.989946258","228710.085837562","219521.165497778","188956.383194293","163848.940651925","135756.394379632","129978.078398957","136553.42075204","137604.388925108","143126.029431273","147669.139416912","156259.581722301","163531.129787955","163388.324476837","164233.434064512","164765.035563091","155322.278018914","160738.699272675","171962.146285683","176400.31056426",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8989.40101605209","9325.68577162433","9096.80238524946","8475.36403523738","9185.83273905731","9997.75473559696","9776.8757988844","9932.05840142296","10250.6943339305","11070.9275380892","11230.703127061","11679.720711549","11682.113574753","11814.8332868916","12258.3809922092","12053.2335055345","11623.6800659651","12232.6217476523","11495.361385518","12469.3079568857","12459.6414055078","11627.762576575","11362.0507118234","11672.8175737479","11675.3131973485","10903.2138452157","11400.5218586534","11533.3025888624","11236.851521098","10278.582778038","9880.04204928068","10629.9372076094","11315.5759312697","12079.0941198875","12613.004669704","12093.742302076","12602.2802134721","13462.1742574004","13819.5071563521","13198.7193992224","12947.0214703367","12240.9172045843","10790.8642247803","11623.8358140688","12545.3917727358","13515.4638150148","14452.758762344","15596.869579383","16069.4212577919","14965.7806008789","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16492.0664048258","15898.0865321293","15425.9829164663","13764.562408297","15096.1352926767","15698.3399181959","15315.8889370371",
